,시도별,연도,합계출산율
258,대전광역시,2007,1.274
259,울산광역시,2007,1.403
260,세종특별자치시,2007,
261,경기도,2007,1.361
262,강원특별자치도,2007,1.356
263,충청북도,2007,1.398
264,충청남도,2007,1.506
265,전북특별자치도,2007,1.38
266,전라남도,2007,1.542
267,경상북도,2007,1.369
268,경상남도,2007,1.434
269,제주특별자치도,2007,1.489
270,전국,2008,1.192
271,서울특별시,2008,1.01
272,부산광역시,2008,0.98
273,대구광역시,2008,1.072
274,인천광역시,2008,1.186
275,광주광역시,2008,1.198
276,대전광역시,2008,1.215
277,울산광역시,2008,1.338
278,세종특별자치시,2008,
279,경기도,2008,1.285
280,강원특별자치도,2008,1.253
281,충청북도,2008,1.319
282,충청남도,2008,1.444
283,전북특별자치도,2008,1.305
284,전라남도,2008,1.449
285,경상북도,2008,1.313
286,경상남도,2008,1.368
287,제주특별자치도,2008,1.386
288,전국,2009,1.149
289,서울특별시,2009,0.962
290,부산광역시,2009,0.94
291,대구광역시,2009,1.029
292,인천광역시,2009,1.143
293,광주광역시,2009,1.137
294,대전광역시,2009,1.156
295,울산광역시,2009,1.308
296,세종특별자치시,2009,
297,경기도,2009,1.226
298,강원특별자치도,2009,1.248
299,충청북도,2009,1.317
300,충청남도,2009,1.408
301,전북특별자치도,2009,1.279
302,전라남도,2009,1.445
303,경상북도,2009,1.274
304,경상남도,2009,1.323
305,제주특별자치도,2009,1.378
306,전국,2010,1.226
307,서울특별시,2010,1.015
308,부산광역시,2010,1.045
309,대구광역시,2010,1.109
310,인천광역시,2010,1.214
311,광주광역시,2010,1.223
312,대전광역시,2010,1.205
313,울산광역시,2010,1.369
314,세종특별자치시,2010,
315,경기도,2010,1.309
316,강원특별자치도,2010,1.313
317,충청북도,2010,1.402
318,충청남도,2010,1.479
319,전북특별자치도,2010,1.374
320,전라남도,2010,1.537
321,경상북도,2010,1.377
322,경상남도,2010,1.413
323,제주특별자치도,2010,1.463
324,전국,2011,1.244
325,서울특별시,2011,1.014
326,부산광역시,2011,1.078
327,대구광역시,2011,1.146
328,인천광역시,2011,1.232
329,광주광역시,2011,1.234
330,대전광역시,2011,1.261
331,울산광역시,2011,1.393
332,세종특별자치시,2011,
333,경기도,2011,1.314
334,강원특별자치도,2011,1.338
335,충청북도,2011,1.428
336,충청남도,2011,1.496
337,전북특별자치도,2011,1.405
338,전라남도,2011,1.568
339,경상북도,2011,1.434
340,경상남도,2011,1.446
341,제주특별자치도,2011,1.487
342,전국,2012,1.297
343,서울특별시,2012,1.059
344,부산광역시,2012,1.135
345,대구광역시,2012,1.217
346,인천광역시,2012,1.301
347,광주광역시,2012,1.295
348,대전광역시,2012,1.315
349,울산광역시,2012,1.481
350,세종특별자치시,2012,1.597
351,경기도,2012,1.355
352,강원특별자치도,2012,1.374
353,충청북도,2012,1.485
354,충청남도,2012,1.571
355,전북특별자치도,2012,1.44
356,전라남도,2012,1.642
357,경상북도,2012,1.489
358,경상남도,2012,1.503
359,제주특별자치도,2012,1.598
360,전국,2013,1.187
361,서울특별시,2013,0.968
362,부산광역시,2013,1.049
363,대구광역시,2013,1.127
364,인천광역시,2013,1.195
365,광주광역시,2013,1.17
366,대전광역시,2013,1.234
367,울산광역시,2013,1.391
368,세종특별자치시,2013,1.435
369,경기도,2013,1.226
370,강원특별자치도,2013,1.249
371,충청북도,2013,1.365
372,충청남도,2013,1.442
373,전북특별자치도,2013,1.32
374,전라남도,2013,1.518
375,경상북도,2013,1.379
376,경상남도,2013,1.367
377,제주특별자치도,2013,1.427
378,전국,2014,1.205
379,서울특별시,2014,0.983
380,부산광역시,2014,1.09
381,대구광역시,2014,1.169
382,인천광역시,2014,1.212
383,광주광역시,2014,1.199
384,대전광역시,2014,1.25
385,울산광역시,2014,1.437
386,세종특별자치시,2014,1.354
387,경기도,2014,1.241
388,강원특별자치도,2014,1.248
389,충청북도,2014,1.363
390,충청남도,2014,1.421
391,전북특별자치도,2014,1.329
392,전라남도,2014,1.497
393,경상북도,2014,1.408
394,경상남도,2014,1.409
395,제주특별자치도,2014,1.481
396,전국,2015,1.239
397,서울특별시,2015,1.001
398,부산광역시,2015,1.139
399,대구광역시,2015,1.216
400,인천광역시,2015,1.216
401,광주광역시,2015,1.207
402,대전광역시,2015,1.277
403,울산광역시,2015,1.486
404,세종특별자치시,2015,1.893
405,경기도,2015,1.272
406,강원특별자치도,2015,1.311
407,충청북도,2015,1.414
408,충청남도,2015,1.48
409,전북특별자치도,2015,1.352
410,전라남도,2015,1.549
411,경상북도,2015,1.464
412,경상남도,2015,1.437
413,제주특별자치도,2015,1.477
414,전국,2016,1.172
415,서울특별시,2016,0.94
416,부산광역시,2016,1.095
417,대구광역시,2016,1.186
418,인천광역시,2016,1.144
419,광주광역시,2016,1.168
420,대전광역시,2016,1.192
421,울산광역시,2016,1.418
422,세종특별자치시,2016,1.821
423,경기도,2016,1.194
424,강원특별자치도,2016,1.237
425,충청북도,2016,1.358
426,충청남도,2016,1.395
427,전북특별자치도,2016,1.251
428,전라남도,2016,1.466
429,경상북도,2016,1.396
430,경상남도,2016,1.358
431,제주특별자치도,2016,1.432
432,전국,2017,1.052
433,서울특별시,2017,0.836
434,부산광역시,2017,0.976
435,대구광역시,2017,1.067
436,인천광역시,2017,1.007
437,광주광역시,2017,1.053
438,대전광역시,2017,1.075
439,울산광역시,2017,1.261
440,세종특별자치시,2017,1.668
441,경기도,2017,1.069
442,강원특별자치도,2017,1.123
443,충청북도,2017,1.235
444,충청남도,2017,1.276
445,전북특별자치도,2017,1.151
446,전라남도,2017,1.325
447,경상북도,2017,1.256
448,경상남도,2017,1.227
449,제주특별자치도,2017,1.305
450,전국,2018,0.977
451,서울특별시,2018,0.761
452,부산광역시,2018,0.899
453,대구광역시,2018,0.987
454,인천광역시,2018,1.006
455,광주광역시,2018,0.972
456,대전광역시,2018,0.952
457,울산광역시,2018,1.131
458,세종특별자치시,2018,1.566
459,경기도,2018,1.002
460,강원특별자치도,2018,1.067
461,충청북도,2018,1.172
462,충청남도,2018,1.186
463,전북특별자치도,2018,1.044
464,전라남도,2018,1.24
465,경상북도,2018,1.167
466,경상남도,2018,1.122
467,제주특별자치도,2018,1.22
468,전국,2019,0.918
469,서울특별시,2019,0.717
470,부산광역시,2019,0.827
471,대구광역시,2019,0.932
472,인천광역시,2019,0.94
473,광주광역시,2019,0.913
474,대전광역시,2019,0.883
475,울산광역시,2019,1.084
476,세종특별자치시,2019,1.472
477,경기도,2019,0.943
478,강원특별자치도,2019,1.082
479,충청북도,2019,1.05
480,충청남도,2019,1.112
481,전북특별자치도,2019,0.971
482,전라남도,2019,1.234
483,경상북도,2019,1.089
484,경상남도,2019,1.046
485,제주특별자치도,2019,1.145
486,전국,2020,0.837
487,서울특별시,2020,0.642
488,부산광역시,2020,0.747
489,대구광역시,2020,0.807
490,인천광역시,2020,0.829
491,광주광역시,2020,0.811
492,대전광역시,2020,0.805
493,울산광역시,2020,0.984
494,세종특별자치시,2020,1.277
495,경기도,2020,0.878
496,강원특별자치도,2020,1.036
497,충청북도,2020,0.983
498,충청남도,2020,1.029
499,전북특별자치도,2020,0.909
500,전라남도,2020,1.145
501,경상북도,2020,1.003
502,경상남도,2020,0.945
503,제주특별자치도,2020,1.021
504,전국,2021,0.808
505,서울특별시,2021,0.626
506,부산광역시,2021,0.728
507,대구광역시,2021,0.785
508,인천광역시,2021,0.778
509,광주광역시,2021,0.896
510,대전광역시,2021,0.81
511,울산광역시,2021,0.94
512,세종특별자치시,2021,1.277
513,경기도,2021,0.853
514,강원특별자치도,2021,0.979
515,충청북도,2021,0.949
516,충청남도,2021,0.963
517,전북특별자치도,2021,0.85
518,전라남도,2021,1.017
519,경상북도,2021,0.966
520,경상남도,2021,0.903
521,제주특별자치도,2021,0.951
522,전국,2022,0.778
523,서울특별시,2022,0.593
524,부산광역시,2022,0.723
525,대구광역시,2022,0.757
526,인천광역시,2022,0.747
527,광주광역시,2022,0.844
528,대전광역시,2022,0.842
529,울산광역시,2022,0.848
530,세종특별자치시,2022,1.121
531,경기도,2022,0.839
532,강원특별자치도,2022,0.968
533,충청북도,2022,0.871
534,충청남도,2022,0.909
535,전북특별자치도,2022,0.817
536,전라남도,2022,0.969
537,경상북도,2022,0.93
538,경상남도,2022,0.838
539,제주특별자치도,2022,0.919
540,전국,2023,0.721
541,서울특별시,2023,0.552
542,부산광역시,2023,0.664
543,대구광역시,2023,0.702
544,인천광역시,2023,0.694
545,광주광역시,2023,0.706
546,대전광역시,2023,0.787
547,울산광역시,2023,0.814
548,세종특별자치시,2023,0.971
549,경기도,2023,0.766
550,강원특별자치도,2023,0.893
551,충청북도,2023,0.886
552,충청남도,2023,0.842
553,전북특별자치도,2023,0.78
554,전라남도,2023,0.972
555,경상북도,2023,0.86
556,경상남도,2023,0.799
557,제주특별자치도,2023,0.827
558,전국,2024,0.748
559,서울특별시,2024,0.581
560,부산광역시,2024,0.683
561,대구광역시,2024,0.754
562,인천광역시,2024,0.762
563,광주광역시,2024,0.699
564,대전광역시,2024,0.792
565,울산광역시,2024,0.859
566,세종특별자치시,2024,1.028
567,경기도,2024,0.789
568,강원특별자치도,2024,0.889
569,충청북도,2024,0.882
570,충청남도,2024,0.883
571,전북특별자치도,2024,0.808
572,전라남도,2024,1.028
573,경상북도,2024,0.897
574,경상남도,2024,0.82
575,제주특별자치도,2024,0.826
